"nameTeam","idTeam","slugTeam","teamName","cityTeam","teamNameFull","idConference","idDivision","isNonNBATeam","yearPlayedLast","idLeague","colorsTeam","urlThumbnailTeam"
"G League Ignite",1612709930,"GLI","ignite","G League","Ignite",0,0,1,2020,2,"#000000, #000000","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team Franca",12332,"FRA","franca","Team","Franca",0,0,1,2019,1,"#0a0a0a","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team Croatia",70,"CRO","croatia","Team","Croatia",0,0,1,2019,2,"#dd3333","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team China",45,"CNA","china","Team","China",0,0,1,2019,2,"#dd3333","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Beijing Ducks",15021,"BJD","ducks","Beijing","Ducks",0,0,1,2018,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"New Zealand Breakers",15020,"NZB","breakers","New Zealand","Breakers",0,0,1,2019,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Adelaide 36ers",15019,"ADL","36ers","Adelaide","36ers",0,0,1,2019,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Perth Wildcats",104,"PWC","wildcats","Perth","Wildcats",0,0,1,2018,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team 4 Gray",1609800004,"TFG","ndcteam4","Team 4","Gray",0,0,1,2018,2,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team 3 White",1609800003,"TTW","ndcteam3","Team 3","White",0,0,1,2018,2,"#dd3333","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team 2 Gray",1609800002,"TTG","ndcteam2","Team 2","Gray",0,0,1,2018,2,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Team 1 White",1609800001,"TOW","ndcteam1","Team 1","White",0,0,1,2018,2,"#dd3333","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Melbourned United",15016,"MEL","united","Melbourned","United",0,0,1,2019,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Shanghai Sharks",12329,"SDS","sharks","Shanghai","Sharks",0,0,1,2019,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
"Guangzhou Long-Lions",15018,"GUANGZHOU","GUA","Guangzhou","Long-Lions",0,0,1,2019,1,"#1e73be","https://stats.nba.com/media/img/teams/logos/NBA_logo.svg"
